Query_ID	Dec_ID	Rank	Score
0	4w9i	6	0.03395713096161024
0	3d4z	7	0.033381712626995644
0	1r5y	8	0.03311965811965812
0	1ydr	9	0.03238866396761133
0	1ps3	1	1.0
0	2j78	2	0.1600284495021337
0	3d4z	3	0.14794303797468356
0	3syr	4	0.13747954173486088
0	1nc3	5	0.11541053993189486
0	2cet	6	0.11433330248912743
0	4eky	7	0.10458009778544722
0	1w4o	8	0.09985768500948766
0	4u4s	9	0.09685809404910528
0	2j78	1	1.0
0	1ps3	2	0.1600284495021337
0	3d4z	3	0.1495238095238095
0	2w4x	4	0.12102379043036621
0	3syr	5	0.10109447004608295
0	1w4o	6	0.09973445798188066
0	1nc3	7	0.09119569219440354
0	3g2n	8	0.09059139784946237
0	2cet	9	0.0851010101010101
0	3d6q	1	1.0
0	3dxg	2	0.4118763724198507
0	1w4o	3	0.3331079558260086
0	3syr	4	0.198893316742893
0	4eky	5	0.17020729021313852
0	1nc1	6	0.16557582021153106
0	3l7b	7	0.1627255330781848
0	1o0h	8	0.13456167350661194
0	3coy	9	0.1194987917544037
0	3gy4	1	1.0
0	1c5z	2	0.43448275862068964
0	1o5b	3	0.1584274952919021
0	1oyt	4	0.14449926362297497
0	1o3f	5	0.12218206946552779
0	2zda	6	0.10893623300265601
0	1owh	7	0.10700498890641633
0	1sqa	8	0.09756483238456673
0	1lpg	9	0.09445998001232143
0	2qbp	1	1.0
0	2qbq	2	0.4964911707998918
0	2qbr	3	0.40468494088816953
0	2hb1	4	0.15266154434038393
0	2fvd	5	0.12619543650793652
0	4dli	6	0.1138028638028638
0	3cj4	7	0.09893474301369037
0	3qgy	8	0.09428638236692641
0	4de3	9	0.09023886262297334
0	1c5z	1	1.0
0	3gy4	2	0.43448275862068964
0	1o5b	3	0.19537815126050417
0	1o3f	4	0.1670258620689655
0	1oyt	5	0.1590410685805423
0	4jsz	6	0.13844086021505375
0	1owh	7	0.13277183342972818
0	2zda	8	0.12350240354985824
0	1lpg	9	0.11068293775190326
0	3g31	1	1.0
0	3f3d	2	0.21856866537717604
0	3ehy	3	0.19646892655367232
0	3f3c	4	0.19608695652173916
0	1p1q	5	0.187807881773399
0	2al5	6	0.1738095238095238
0	3nq9	7	0.16518912529550825
0	1syi	8	0.15740740740740738
0	3u9q	9	0.15489437187550395
0	3qqs	1	1.0
0	4gkm	2	0.1858219351570415
0	3pxf	3	0.10085476329631793
0	3g2z	4	0.08758503401360544
0	3gv9	5	0.07179054054054054
0	1z9g	6	0.06986782567277924
0	3k5v	7	0.06838547189819724
0	2xnb	8	0.06485890862527846
0	2wtv	9	0.06449690531950485
0	3f3c	1	1.0
0	3f3e	2	0.35657894736842105
0	3f3d	3	0.3226902173913043
0	3f3a	4	0.30849358974358976
0	2al5	5	0.30561735261401557
0	1p1q	6	0.30110837438423643
0	1syi	7	0.23177592954990217
0	3kgp	8	0.2202380952380952
0	3g31	9	0.19608695652173916
0	4agn	1	1.0
0	4agp	2	0.5409259259259259
0	4agq	3	0.5065047348199866
0	5a7b	4	0.31597118728266266
0	5aba	5	0.12147371976325269
0	4e6q	6	0.084457844873633
0	3b65	7	0.0769975776043001
0	3acw	8	0.07535202492211839
0	4f3c	9	0.07480360499887984
0	2weg	1	1.0
0	4jsz	2	0.20714285714285713
0	3lka	3	0.17607973421926912
0	3ryj	4	0.14104658197217182
0	4owm	5	0.10937499999999999
0	3dd0	6	0.09114947151545941
0	4llx	7	0.08452380952380953
0	3qgy	8	0.08111285266457681
0	3r88	9	0.07625
0	3dxg	1	1.0
0	1w4o	2	0.47047919874006827
0	3d6q	3	0.4118763724198507
0	3syr	4	0.21233153638814015
0	1o0h	5	0.2021708312562313
0	4eky	6	0.1884831758061631
0	3coy	7	0.16964224520008406
0	1nc1	8	0.16434725312566223
0	3l7b	9	0.15801948713306022
0	1gpk	1	1.0
0	1gpn	2	0.2681954137587238
0	4j21	3	0.11043587627557094
0	3udh	4	0.10072142064372919
0	3gr2	5	0.09303693248647378
0	3gnw	6	0.08798701298701297
0	4j3l	7	0.08732517482517482
0	2v00	8	0.08539607516377429
0	1s38	9	0.08303571428571428
0	3r88	1	1.0
0	4owm	2	0.29447115384615385
0	3twp	3	0.2295150501672241
0	3kgp	4	0.1894946808510638
0	4ddk	5	0.18896103896103897
0	3bgz	6	0.18594422525107604
0	3f3e	7	0.1587566844919786
0	3nq9	8	0.1568627450980392
0	3u9q	9	0.1495144110275689
0	3f3d	1	1.0
0	3f3e	2	0.32960526315789473
0	3f3c	3	0.3226902173913043
0	1p1q	4	0.2658802177858439
0	3f3a	5	0.2581129807692308
0	2al5	6	0.23538306451612906
0	3g31	7	0.21856866537717604
0	1syi	8	0.21296745993200583
0	3mss	9	0.1664527171587505
0	1w4o	1	1.0
0	3dxg	2	0.47047919874006827
0	3d6q	3	0.3331079558260086
0	3syr	4	0.22541571100917432
0	4eky	5	0.2010616210287147
0	3l7b	6	0.18662127269698486
0	1nc1	7	0.1465108401084011
0	1o0h	8	0.13689817376867736
0	3d4z	9	0.1226280834914611
0	3dx1	1	1.0
0	3dx2	2	0.10888501742160278
0	2j7h	3	0.09954407294832827
0	3arq	4	0.07680603024486166
0	3n7a	5	0.07277777777777777
0	4ciw	6	0.055448717948717946
0	2w66	7	0.05533596837944664
0	3fv2	8	0.052144535840188015
0	2xb8	9	0.04852100710534445
0	2wvt	1	1.0
0	2qnq	2	0.14262820512820512
0	4pcs	3	0.08020408163265305
0	4j28	4	0.06113801452784503
0	2xii	5	0.05226982097186701
0	1y6r	6	0.04355329355329356
0	2cbv	7	0.04285714285714286
0	1p1n	8	0.033482142857142856
0	3udh	9	0.029775943396226412
0	1u1b	1	1.0
0	1o0h	2	0.18054303236454766
0	3coz	3	0.15548524539703368
0	3coy	4	0.15467384562927866
0	3ag9	5	0.1336646434531763
0	1w4o	6	0.11798067136216311
0	1nc1	7	0.10768435286531304
0	4f2w	8	0.10646916022298147
0	4f3c	9	0.104830261583545
0	4agp	1	1.0
0	4agn	2	0.5409259259259259
0	5a7b	3	0.47740578630409136
0	4agq	4	0.47293123543123544
0	3acw	5	0.11625437569089855
0	5aba	6	0.10091994408553402
0	3b65	7	0.09675434401402838
0	4e6q	8	0.09289549089993072
0	4f3c	9	0.08118117162086116
0	2qnq	1	1.0
0	2wvt	2	0.14262820512820512
0	3udh	3	0.0648049645390071
0	3u8k	4	0.06262400793650794
0	3u8n	5	0.051467293906810034
0	1ydr	6	0.046678618055690874
0	4f09	7	0.045931142410015655
0	2cbv	8	0.04491465149359886
0	1q8u	9	0.04382911392405063
0	3kwa	1	0.5
0	1uto	2	0.025
0	5c28	3	0.015625
0	3u9q	4	0.015151515151515152
0	3ueu	5	0.01282051282051282
0	3uev	6	0.011111111111111112
0	4ciw	7	0.01020408163265306
0	3uew	8	0.00980392156862745
0	3uex	9	0.008771929824561403
0	3f3e	1	1.0
0	3f3c	2	0.35657894736842105
0	3f3d	3	0.32960526315789473
0	3f3a	4	0.27435064935064934
0	1p1q	5	0.25153846153846154
0	3kgp	6	0.24483306836248014
0	2al5	7	0.23035714285714287
0	1syi	8	0.22095238095238096
0	1a30	9	0.19215686274509805
0	3kgp	1	1.0
0	3f3e	2	0.24483306836248014
0	4ddk	3	0.24166666666666664
0	4owm	4	0.22459893048128343
0	3f3c	5	0.2202380952380952
0	3r88	6	0.1894946808510638
0	1owh	7	0.18372388481084134
0	3up2	8	0.1662358607281725
0	3twp	9	0.16533430232558138
0	3syr	1	1.0
0	4eky	2	0.44759259259259254
0	2al5	3	0.2334306318681319
0	1w4o	4	0.22541571100917432
0	3dxg	5	0.21233153638814015
0	3l7b	6	0.20392261763229505
0	3d6q	7	0.198893316742893
0	1nc3	8	0.19741307411348535
0	3g2n	9	0.17553411508259578
0	4agq	1	1.0
0	4agn	2	0.5065047348199866
0	4agp	3	0.47293123543123544
0	5a7b	4	0.30097766601801956
0	3b65	5	0.10829123178290337
0	3acw	6	0.10137211273574909
0	4e6q	7	0.10011632825719119
0	4f3c	8	0.09991874362161612
0	4f2w	9	0.09395503849508856
